SIZE; VIRTUAL SIZE; WEIGHT UNITS; VIRTUAL BYTES; WITNESS; TX PER BLOCK; N SCRIPTS;
326;581;146;85;241;6884;2;
390;645;162;85;305;6201;11;
486;741;186;85;401;5397;101;
584;839;210;85;499;4767;1001;
712;967;242;85;627;4136;10001;
808;1063;266;85;723;3762;100001;
904;1159;290;85;819;3450;1000001;
