SIZE; WEIGHT UNITS; VIRTUAL BYTES; NO WITNESS; WITNESS; TX PER BLOCK; N SCRIPTS;
234;936;234;234;0;4273;2;
235;940;235;235;0;4254;11;
234;936;234;234;0;4273;101;
235;940;235;235;0;4254;1001;
234;936;234;234;0;4273;10001;
234;936;234;234;0;4273;100001;
234;936;234;234;0;4273;1000001;
